Original_Name,Clean_Name,Latitude,Longitude,Found_Address
三面船,三面船,42.1955878,123.2987894,"三面船镇, 法库县, 辽宁省, 中国"
上三峰,上三峰,29.6722898,117.7447959,"上三峰, 流口镇, 休宁县, 黄山市, 安徽省, 中国"
上井,上井,22.3718764,108.8477671,"上井, 钦州市, 广西壮族自治区, 中国"
上園,上園,41.6100103,120.9789167,"上园镇, 朝阳市, 辽宁省, 中国"
上天通,上天通,22.6609631,110.0879223,"上田, 玉州区, 玉林市, 广西壮族自治区, 543000, 中国"
上安,上安,34.4757349,132.4447292,"上安, 広島豊平線, 上安２丁目, 安佐南区, 広島市, 広島県, 731-0154, 日本"
上寶家,上寶家,35.6261088,103.9776535,"上包家, 上营乡, 临洮县, 定西市, 甘肃省, 中国"
上板城,上板城,40.8221723,118.0386972,"上板城镇, 承德高新技术产业开发区, 双桥区, 承德市, 河北省, 中国"
上榮,上榮,23.5386,107.91,"上荣, 南宁市, 广西壮族自治区, 中国"
上河灣,上河灣,44.4877087,126.1967446,"上河湾镇, 长春市, 吉林省, 130000, 中国"
上海,上海,31.2312707,121.4700152,"上海市, 大世界, 上海市, 中国"
上海龍華,上海龍華,31.1749764,121.4445963,"龙华, 上海市, 200235, 中国"
上湖,上湖,28.347152,115.3287601,"上湖乡, 高安市, 宜春市, 江西省, 中国"
上牧,上牧,36.7354657,138.9845777,"上牧, 沼田水上線, 奈女沢, みなかみ町, 利根郡, 群馬県, 379-1303, 日本"
上瓦房,上瓦房,42.2806651,119.0910052,"上瓦房, 郎家营子村, 红庙子镇, 红山区 ᠬᠣᠩ ᠱᠠᠨ ᠲᠣᠭᠣᠷᠢᠭ, 赤峰市 ᠤᠯᠠᠭᠠᠨᠬᠠᠳᠠ ᠬᠣᠲᠠ, 内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ, 中国"
上田,上田,36.3965984,138.2495851,"上田, 上田停車場線, 天神一丁目, 上田市, 長野県, 386-0025, 日本"
上肥地,上肥地,42.320737,124.5164337,"上肥镇, 开原市, 铁岭市, 辽宁省, 中国"
上諏訪,上諏訪,36.0466419,138.1162602,"上諏訪, 上諏訪東スクエア, 諏訪一丁目, 諏訪市, 長野県, 392-0027, 日本"
上谷,上谷,40.7945445,118.474839,"上谷, S52, 承德县, 承德市, 河北省, 中国"
上野,上野,35.7117081,139.7761542,"上野, 上野駅, 上野七丁目, 上野, 台東区, 東京都, 110-0005, 日本"
上馬,上馬,35.6372239,139.6625859,"上馬, 世田谷区, 東京都, 154-0011, 日本"
上龍田,上龍田,35.0669144,139.9017964,"上滝田, 南房総市, 千葉県, 294-0806, 日本"
下九臺驛,下九臺,,,
下城子,下城子,44.6690867,130.4395107,"下城子, 方正-珲春, 下城子镇, 穆棱市, 牡丹江市, 黑龙江省, 中国"
下城廠,下城廠,35.0308827,135.7128986,"下乗, 衣笠宇多野線, 宇多野馬場町, 右京区, 京都市, 京都府, 616-0000, 日本"
下店,下店,26.9133665,118.0029855,"下店, 南平市, 福建省, 中国"
下板城,下板城,40.7725126,118.1702808,"下板城, 中兴街, 承德县, 承德市, 河北省, 中国"
下盤石,下盤石,37.1407225,140.4441576,"磐城石川, 白河石川線, 当町, 石川町, 石川郡, 福島県, 963-7846, 日本"
下窪,下窪,44.9184178,126.5032054,"下洼, 长春市, 吉林省, 130000, 中国"
下端,下端,35.1062348,128.9667606,"하단, 지하 1415, 낙동남로, 하단1동, 사하구, 부산광역시, 49311, 대한민국"
下肥地,下肥地,42.3036633,124.365243,"下肥镇, 开原市, 铁岭市, 辽宁省, 中国"
下蜀,下蜀,32.1725107,119.1629657,"下蜀, X301, 祝里, 下蜀镇, 句容市, 镇江市, 江苏省, 212400, 中国"
下關,下關,33.9577116,130.9415455,"下関市, 山口県, 日本"
下面,下面,42.8537301,130.1970758,"하면, 7, 후수동, 중영리, 경원군, 함경북도, 조선민주주의인민공화국"
下馬塘,下馬塘,24.2252036,115.6648241,"下马塘, 留桥村, 兴宁市, 梅州市, 广东省, 中国"
下馬廠,下馬廠,31.0192691,102.4180563,"下马厂, 老营乡, 小金县 བཙན་ལྷ་རྫོང་།, 阿坝藏族羌族自治州 རྔ་བ་བོད་རིགས་ཆ་བ༹ང་རིགས་རང་སྐྱོང་ཁུལ་, 四川省, 624200, 中国"
世豐,世豐,22.750278,120.308889,"仕豐, 仕豐里, 橋頭區, 興糖, 高雄市, 825, 臺灣"
中和,中和,47.677574,124.3747165,"中和, 双嫩高速, 中和, 友谊乡, 富裕县, 齐齐哈尔市, 黑龙江省, 161000, 中国"
中和鎮,中和鎮,19.7457692,109.3452361,"中和镇, 儋州市, 海南省, 中国"
中山,中山,22.5197073,113.3872302,"中山市, 广东省, 中国"
中島,中島,32.530868,130.4334697,"中島, 上天草市, 熊本県, 日本"
中廟,中廟,32.7686235,105.3500882,"中庙镇, 文县, 陇南市, 甘肃省, 中国"
中張貴莊,中張貴莊,31.852643,117.1213937,"桂庄, 长江西路, 永和社区, 长宁社区服务中心, 合肥高新技术产业开发区, 蜀山区, 安徽省, 中国"
中江鎮,中江鎮,31.4051146,104.724511,"中江, 二环路, 涪城区, 绵阳市, 四川省, 中国"
中津,中津,33.5991951,131.1908891,"中津, 中津停車場線, 蛭子町一丁目, 中津市, 大分県, 871-0007, 日本"
中津川,中津川,35.500617,137.502847,"中津川, 中津川駅横断地下道, 太田町二丁目, 中津川市, 岐阜県, 508-0038, 日本"
中莊屯,中莊屯,23.9599,120.6747,"中莊, 上林里, 草屯鎮, 南投縣, 540206, 臺灣"
中華門,中華門,47.5983301,-122.3273647,"Chinatown Gate, South King Street, Chinatown, Chinatown International District, Seattle, King County, Washington, 98104, United States"
中里,中里,33.2082665,129.6879167,"中里, 市道108号 川上橋通線, 上本山町, 桧台, 佐世保市, 長崎県, 857-0028, 日本"
丸龜,丸龜,34.292045,133.792955,"丸亀, 丸亀停車場線, 新町, 丸亀市, 香川県, 763-0045, 日本"
丹村,丹村,23.3658959,111.035912,"丹村, 藤县, 梧州市, 广西壮族自治区, 543000, 中国"
丹沙,丹沙,23.9739374,120.9820179,臺灣
丹陽,丹陽,32.0039885,119.5885239,"丹阳, 九曲路, 曲阿街道, 丹阳市, 镇江市, 江苏省, 212300, 中国"
乃子山,乃子山,43.6963761,127.4278417,"奶子山街道, 蛟河市, 吉林市, 吉林省, 中国"
乃林,乃林,41.908505,119.2676639,"乃林, 站前路, 乃林镇, 喀喇沁旗 ᠬᠠᠷᠠᠴᠢᠨ ᠬᠣᠰᠢᠭᠤ, 赤峰市 ᠤᠯᠠᠭᠠᠨᠬᠠᠳᠠ ᠬᠣᠲᠠ, 内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ, 024417, 中国"
久保田,久保田,33.2556027,130.2288699,"久保田, 久保田停車場線, 北田, 佐賀市, 佐賀県, 849-0204, 日本"
九密河,九密河,36.356262,114.3595538,"九米街, 铁路小区, 磁县, 邯郸市, 河北省, 056500, 中国"
九寨,九寨,26.5714,108.707,"九寨, 剑河县, 黔东南苗族侗族自治州, 贵州省, 中国"
九曲堂,九曲堂,22.6559651,120.4212016,"九曲堂, 15, 久堂里, 大樹區, 水寮, 高雄市, 840, 臺灣"
九江,九江,29.388607,115.3820227,"九江市, 江西省, 中国"
九洞,九洞,25.2522957,107.0690805,"九洞, 天峨县, 河池市, 广西壮族自治区, 中国"
九站,九站,43.9146187,126.5113904,"九站街道, 吉林经济开发区, 昌邑区, 吉林市, 吉林省, 中国"
九臺,九臺,44.1523236,125.8387384,"九台区, 长春市, 吉林省, 130500, 中国"
九道灣,九道灣,43.9187314,87.670075,"九道湾, 二环路, 地磅街道, 米东区 مىدوڭ, 乌鲁木齐市 ئۈرۈمچى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 830000, 中国"
九龜,九龜,34.0160785,136.2426381,"九鬼, 国道311号, 九鬼町, 尾鷲市, 三重県, 519-3701, 日本"
乾安,乾安,44.9741842,123.9642101,"乾安县, 松原市, 吉林省, 中国"
乾岔子,乾岔子,43.24146,127.17534,"干岔子, 桦甸市, 吉林市, 吉林省, 中国"
亀浦,亀浦,35.2053084,128.9973006,"구포, 82, 구포만세길, 구포2동, 북구, 부산광역시, 46583, 대한민국"
亂流,亂流,37.8584956,113.6932377,"乱流, G207, 乱流村, 石门口乡, 平定县, 阳泉市, 山西省, 045202, 中国"
亂石山,亂石山,33.469475,105.330893,"乱石山, 康县, 陇南市, 甘肃省, 中国"
二克淺,二克淺,48.4792,124.575,"二克浅镇, 讷河市, 齐齐哈尔市, 黑龙江省, 161000, 中国"
二十里堡,二十里堡,39.1953785,121.7675498,"二十里堡街道, 金州区, 辽宁省, 中国"
二十里臺,二十里臺,39.1951194,121.7528596,"二十里台, 刘大线/广富路, 二十里堡街道, 金州区, 辽宁省, 中国"
二密河,二密河,41.8308806,125.8740923,"二密镇, 通化县, 通化市, 吉林省, 中国"
二水,二水,23.813291,120.6183999,"二水, 田仔一巷, 光化村, 二水鄉, 彰化縣, 53042, 臺灣"
二見浦,二見浦,34.503708,136.777735,"二見浦, 国道42号, 二見町溝口, 伊勢市, 三重県, 516-0037, 日本"
二道杖子,二道杖子,40.8166838,119.4126524,"二道杖子, 朝阳市, 辽宁省, 中国"
二道河子,二道河子,42.3738896,122.6719657,"二道河子乡, 彰武县, 阜新市, 辽宁省, 123200, 中国"
二道甸子,二道甸子,43.14435,127.1455708,"二道甸子镇, 吉林市, 吉林省, 中国"
二龍山,二龍山,47.3204274,132.4934651,"二龙山镇, 富锦市, 佳木斯市, 黑龙江省, 154000, 中国"
五七,五七,49.0207259,6.5380352,"Moselle, Grand Est, France métropolitaine, France"
五叉溝,五叉溝,46.769263,120.3125407,"五叉沟, 乌兰浩特-阿尔山, 五岔沟镇, 阿尔山市 ᠷᠠᠰᠢᠶᠠᠨ ᠬᠣᠲᠠ, 兴安盟 ᠬᠢᠩᠭ᠋ᠠᠨ ᠠᠶᠢᠮᠠᠭ, 内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ, 中国"
五家,五家,45.5423002,126.3871143,"五家, 哈尔滨都市圈环线高速, 双城区, 哈尔滨市, 黑龙江省, 150100, 中国"
五家站,五家站,45.5423002,126.3871143,"五家, 哈尔滨都市圈环线高速, 双城区, 哈尔滨市, 黑龙江省, 150100, 中国"
五常,五常,30.2987921,120.0401512,"五常, 余杭塘路, 五常街道, 余杭区, 杭州市, 浙江省, 311121, 中国"
五棵樹,五棵樹,44.7845431,126.1464914,"五棵树镇, 长春市, 吉林省, 130000, 中国"
五河,五河,30.8201314,116.2054932,"五河镇, 岳西县, 安庆市, 安徽省, 中国"
五泡子,五泡子,,,
五道溝,五道溝,39.9829402,118.8452048,"五道沟, 唐山市, 河北省, 中国"
五鳳樓,五鳳樓,42.837924,123.925752,"五凤楼, 昌图县, 辽宁省, 中国"
五龍背,五龍背,40.2630399,124.2710632,"五龙背镇, 振安区, 辽宁省, 118000, 中国"
井山,井山,35.1855427,137.5691672,"井山, 設楽町, 北設楽郡, 愛知県, 日本"
井邑,井邑,35.5757734,126.8419169,"정읍, 305, 서부산업도로, 연지동, 정읍시, 전북특별자치도, 56160, 대한민국"
井陉,井陉,38.0327329,114.1354742,"井陉县, 石家庄市, 河北省, 中国"
井陘,井陘,38.0327329,114.1354742,"井陉县, 石家庄市, 河北省, 中国"
井陘炭礦,井陘炭礦,22.4049136,114.246625,"礦場內脊 Minery Inner Ridge, 馬鞍山村 Ma On Shan Tsuen, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国"
井陘炭礦線,井陘炭礦線,23.133327,106.4241796,"行乐精酿啤酒社区, 把球桥, 新生社区, 环城村, 靖西市, 百色市, 广西壮族自治区, 533800, 中国"
亞主泉,亞主泉,39.613432,2.8829185,"Illes Balears, España"
亞布洛尼,亞布洛尼,49.6900134,4.2486887,"Rocquigny, Rethel, Ardennes, Grand Est, France métropolitaine, 08220, France"
亞銷,亞銷,41.9263991,8.7376029,"Ajaccio, Corse-du-Sud, Corse, France métropolitaine, France"
京仁線,京仁線,40.2492102,116.2381783,"仙人洞村, 北京市, 102249, 中国"
京包幹線,京包幹線,35.8836604,136.1950954,"福井新幹線保線区越前保守基地, 平林町, 越前市, 福井県, 日本"
京古幹線,京古幹線,35.1333861,103.6900507,"景古镇, 康乐县, 临夏回族自治州, 甘肃省, 中国"
京圖線,京圖線,27.7443567,98.6672235,"贡山独龙族怒族自治县, 怒江傈僳族自治州 ꓠꓳ-ꓟꓵ ꓡꓲ-ꓢꓴ ꓫꓵꓽ ꓚꓲꓸ ꓛꓬꓽ ꓗꓪꓼ ꓫꓵꓽ ꓝꓳꓴ, 云南省, 中国"
京城,京城,37.5548238,126.9722165,"서울역, 2, 세종대로, 봉래동2가, 회현동, 중구, 서울특별시, 04509, 대한민국"
京山幹線,京山幹線,34.8107802,135.767199,"八幡木津線, 田辺丸山, 京田辺市, 京都府, 610-0399, 日本"
京慶南部線,京慶南部線,34.983332,138.510817,"県立清水南高等学校中等部, 静岡清水自転車道線, 折戸三丁目, 清水区, 静岡市, 静岡県, 424-8701, 日本"
京白線,京白線,39.8166825,116.4335335,"吉百利(中国)食品有限公司, 旧宫镇, 大兴区, 北京市, 中国"
京義線,京義線,39.424365,115.1714427,"易县, 东城, 易县, 保定市, 河北省, 中国"
京都,京都,34.9861909,135.7600629,"京都, 901, 東塩小路町, 下京区, 京都市, 京都府, 600-8216, 日本"
京釜線,京釜線,45.3850129,126.3595923,"京抚线, 双城区, 哈尔滨市, 黑龙江省, 150100, 中国"
亮兵臺,亮兵臺,42.444899,117.5145126,"亮兵台, 承德市, 河北省, 中国"
亮子嶺,亮子嶺,25.0297894,121.5099939,"航測及遙測分署, 100, 和平西路二段, 龍興里, 中正區, 龍匣口, 臺北市, 10070, 臺灣"
亮子河,亮子河,45.1977468,129.0861808,"东亮珠河, 哈尔滨市, 黑龙江省, 中国"
亮山,亮山,31.880741,115.6705232,"亮山, 固始县, 信阳市, 河南省, 中国"
亮甲店,亮甲店,40.0465619,116.2300072,"亮甲店, 西北旺镇, 海淀区, 北京市, 100093, 中国"
仁城,仁城,37.1309319,114.677267,"任城镇, 河北省, 055100, 中国"
仁川,仁川,37.456,126.7052,"인천광역시, 대한민국"
仁興,仁興,25.37728,102.29814,"仁兴镇, 禄丰市, 楚雄彝族自治州, 云南省, 中国"
今治,今治,34.0641845,132.9936721,"今治, 風の通り, 中日吉町一丁目, 今治市, 愛媛県, 794-0069, 日本"
介休,介休,37.031378,112.001713,"介休市, 晋中市, 山西省, 中国"
他山,他山,40.6101652,118.3096325,"塌山乡, 承德市, 河北省, 中国"
仙三道河,仙三道河,42.528123,128.4356023,"安图县三道中心小学, 龙东线, 江南屯, 东升村, 松江镇 송강진, 安图县 안도현, 延边朝鲜族自治州 연변조선족자치주, 吉林省, 133614, 中国"
仙城,仙城,23.2390433,116.3118646,"仙城镇, 汕头市, 广东省, 中国"
仙河,仙河,32.9495372,109.7425978,"仙河, 旬阳市, 安康市, 陕西省, 中国"
仙洞,仙洞,25.1465824,121.7472061,"仙洞, 基隆市, 203004, 臺灣"
仙臺,仙臺,33.5302708,113.450547,"仙台镇, 平顶山市, 河南省, 中国"
代馬溝,代馬溝,44.5388502,130.0119107,"代马沟, 绥满线, 代马沟, 阳明区, 牡丹江市, 黑龙江省, 157000, 中国"
价川,价川,39.7034723,125.8888149,"개천시, 평안남도, 조선민주주의인민공화국"
价川線,价川線,42.4228063,140.0739146,"加川線, 種川, 今金町, 瀬棚郡, 檜山振興局, 北海道, 日本"
任城,任城,37.1309319,114.677267,"任城镇, 河北省, 055100, 中国"
任家橋,任家橋,43.8233755,125.4029095,"任家桥, 博硕街道, 长春净月高新技术产业开发区, 南关区, 长春市, 吉林省, 130000, 中国"
伊拉哈,伊拉哈,48.8198769,125.1598873,"伊拉哈, 双嫩高速, 伊拉哈镇, 嫩江市, 黑河市, 黑龙江省, 164300, 中国"
伊林,伊林,44.5984446,130.3463959,"伊林, 方正-珲春, 康吉村, 穆棱市, 牡丹江市, 黑龙江省, 中国"
伊爾登,伊爾登,49.65137,4.58618,"Raillicourt, Charleville-Mézières, Ardennes, Grand Est, France métropolitaine, 08430, France"
伊豫三島,伊豫三島,33.9795063,133.5423226,"伊予三島, 伊予三島停車場線, 三島中央四丁目, 四国中央市, 愛媛県, 799-0411, 日本"
伊豫北條,伊豫北條,33.9725556,132.7752133,"伊予北条, 伊予北条停車場線, 土手内, 松山市, 愛媛県, 日本"
伊豫西條,伊豫西條,33.9124158,133.1875765,"伊予西条, 駅東通り, 大町, 西条市, 愛媛県, 793-0030, 日本"
伊豫長濱,伊豫長濱,22.3598081,114.1089495,"青衣海濱長廊 Tsing Yi Promenade, 牙鷹洲 Nga Ying Chau, 青衣 Tsing Yi, 葵青區 Kwai Tsing District, 新界 New Territories, 香港 Hong Kong, 中国"
伊賀上野,伊賀上野,34.7889966,136.1235104,"伊賀上野, 高倉佐那具線, 東高倉, 伊賀市, 三重県, 518-0830, 日本"
伊通,伊通,43.342879,125.2987802,"伊通满族自治县, 四平市, 吉林省, 中国"
伊院,伊院,36.243989,127.6186518,"이원, 51, 이원역길, 이원면, 옥천군, 충청북도, 29061, 대한민국"
伏木,伏木,36.7919305,137.0582278,"伏木, 伏木港線, 伏木国分一丁目, 伏木古国府, 高岡市, 富山県, 933-0105, 日本"
伏龍泉,伏龍泉,44.4043388,124.63382,"伏龙泉镇, 长春市, 吉林省, 130000, 中国"
伯林,伯林,31.3252301,79.502778,"波林, 托林镇, 札达县 རྩ་མདའ་རྫོང་།, 阿里地区 མངའ་རིས་ས་ཁུལ་, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
佐世保,佐世保,33.1635722,129.7265004,"佐世保, 佐世保日野松浦線, 三浦町, 佐世保市, 長崎県, 857-0863, 日本"
佐世保線,佐世保線,33.1643486,129.7252928,"佐世保, 佐世保日野松浦線, 三浦町, 佐世保市, 長崎県, 857-0863, 日本"
佐伯,佐伯,32.9724755,131.9018836,"佐伯, 国道217号, 駅前二丁目, 佐伯市, 大分県, 876-0803, 日本"
佐賀,佐賀,33.2641754,130.2974729,"佐賀, 北口広場, 駅前中央一丁目, 佐賀市, 佐賀県, 840-0804, 日本"
何店子,何店子,34.5358,111.406,"店子乡, 陕州区, 三门峡市, 河南省, 中国"
佛國寺,佛國寺,35.7889948,129.3308902,"불국사, 385, 불국로, 진현동, 불국동, 경주시, 경상북도, 38127, 대한민국"
佛山,佛山,23.0239788,113.1159558,"佛山市, 广东省, 中国"
作,作,37.568873,140.492437,"作, 二本松市, 福島県, 日本"
作木,作木,35.2730777,139.9223394,"作木, 君津市, 千葉県, 299-1124, 日本"
佳木斯,佳木斯,47.02157,132.044137,"佳木斯市, 黑龙江省, 154000, 中国"
佳木斯線,佳木斯線,32.2054435,92.7514706,"木斯线, 白雄乡, 聂荣县 སྙན་རོང་རྫོང།, 那曲市 ནག་ཆུ་ས་ཁུལ།, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
來福,來福,28.565009,104.560858,"来复, 桥头村, 高县, 宜宾市, 四川省, 中国"
來遠,來遠,26.1928942,106.3511133,"来远, 长顺县, 黔南布依族苗族自治州, 贵州省, 558000, 中国"
依安,依安,47.679513,125.311867,"依安县, 齐齐哈尔市, 黑龙江省, 161000, 中国"
依蘭,依蘭,46.3208082,129.5650414,"依兰县, 哈尔滨市, 黑龙江省, 154800, 中国"
依蘭溝,依蘭溝,39.1255371,114.8967018,"木兰沟, 易县, 保定市, 河北省, 中国"
侯馬,侯馬,35.6191208,111.3657616,"侯马市, 临汾市, 山西省, 中国"
